locations/id,locations/response/destination_addresses/0,locations/response/origin_addresses/0,locations/response/rows/0/elements/0/status,locations/response/status,locations/response/rows/0/elements/0/distance/text,locations/response/rows/0/elements/0/distance/value,locations/response/rows/0/elements/0/duration/text,locations/response/rows/0/elements/0/duration/value,locations/response/rows/0/elements/0/fare/currency,locations/response/rows/0/elements/0/fare/text,locations/response/rows/0/elements/0/fare/value
https://reality.idnes.cz/detail/prodej/byt/praha-3-lucemburska/6045fe4be31f1b5a7f35f8f3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Lucemburská 1578, 130 00 Praha 3-Vinohrady, Czechia",OK,OK,2.2 km,2180,25 mins,1502,,,
https://reality.idnes.cz/detail/prodej/byt/praha-1-opletalova/5f7459b847b53076755b1494/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Opletalova 31, 110 00 Praha 1-Nové Město, Czechia",OK,OK,0.7 km,708,9 mins,515,,,
https://reality.idnes.cz/detail/prodej/byt/praha-8-cervena-ban/60657beff3c5bc12f06629f3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Červená báň 356/1, 180 00 Praha 8-Libeň, Czechia",OK,OK,6.0 km,6024,21 mins,1273,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-8-cervena-ban/60658efd27242b74be260904/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Červená báň 356/1, 180 00 Praha 8-Libeň, Czechia",OK,OK,6.0 km,6024,21 mins,1273,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-10-milinska/607d4b0a25bd131790391ad3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://reality.idnes.cz/detail/prodej/byt/praha-4-branicka/6086bfe1ff9313443c7d2d56/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://reality.idnes.cz/detail/prodej/byt/praha-2-perucka/6065b3cd26463f7edf24b6b3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://www.remax-czech.cz/reality/detail/305825/prodej-bytu-3-kk-v-osobnim-vlastnictvi-93-m2-praha-5-hlubocepy,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://reality.idnes.cz/detail/prodej/byt/praha-8-cervena-ban/60658cd8baae0b08c03ac789/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://reality.idnes.cz/detail/prodej/byt/praha-4-jivenska/6072aca616f70345c25607a3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://reality.idnes.cz/detail/prodej/byt/praha-6-cinska/6082aa4a85c2833c4d5a180f/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://reality.idnes.cz/detail/prodej/byt/praha-9-vasatkova/607c621ebafdf2751174d6e3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://reality.idnes.cz/detail/prodej/byt/praha/608be3732d2e927666116603/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://reality.idnes.cz/detail/prodej/byt/praha-5-naskove/6001914770a6d778113cff33/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://www.prazskereality.cz/kompletne-zrekonstruovany-dle-architektonickeho-planu-ma-7360366.html,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://www.remax-czech.cz/reality/detail/311612/prodej-bytu-1-kk-v-osobnim-vlastnictvi-39-m2-praha-4-podoli,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://reality.idnes.cz/detail/prodej/byt/praha-10-pocernicka/60487f8b0ab1275f3f1db853/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://reality.idnes.cz/detail/prodej/byt/praha-9-ceskobrodska/6038cea1d992c025bf137423/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://reality.idnes.cz/detail/prodej/byt/praha-18-krivoklatska/6019460d035adf2e6458c032/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Křivoklátská 436, 199 00 Praha-Letňany, Czechia",OK,OK,21.2 km,21203,52 mins,3115,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-8-nad-rokoskou/6022669d092c9018486b20c3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Nad Rokoskou 17, 182 00 Praha 8, Czechia",OK,OK,10.8 km,10797,44 mins,2649,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-5-podbelohorska/6070412bc8b31e32e72a5d23/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Podbělohorská 190/73, 150 00 Praha-Praha 5, Czechia",OK,OK,17.5 km,17489,1 hour 3 mins,3787,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-5-naskove/60056466a9f38f7e9e1c9df3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Naskové 42, 150 00 Praha 5, Czechia",OK,OK,15.6 km,15644,38 mins,2284,CZK,CZK 24.00,24
