_id,price,area,owner,building_type,state,balcony,basement,elevator,floor,penb,terrace,city_part,street,city_part_number,rooms,kitchen
https://www.prazskereality.cz/na-prodej-nove-zrekonstruovany-cihlovy-byt-2-kk-ktery-se-7309744.html,5104400.0,34.0,osobní,cihlová,po rekonstrukci,1.0,1.0,1.0,4,G,0.0,Smíchov,Plzeňská 488/39,Praha 5,2.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-3-jeseniova/608d6adb3f66ba1075543083/?s-et=flat&s-ot=sale&s-l=VUSC-19,4990000.0,56.0,osobní,cihlová,před rekonstrukcí,1.0,1.0,1.0,5,G,0.0,Žižkov,Jeseniova,Praha 3,2.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-18-ostravska/608a8eeb2f83525f0c5eccb2/?s-et=flat&s-ot=sale&s-l=VUSC-19,7100000.0,83.0,osobní,panelová,po rekonstrukci,0.0,1.0,1.0,3,G,0.0,Letňany,Ostravská,Praha 9,3.0,1.0
https://reality.idnes.cz/detail/prodej/byt/praha-6-stehlikova/602a7264f9700502a625516f/?s-et=flat&s-ot=sale&s-l=VUSC-19,21990000.0,181.0,osobní,skeletová,ve výstavbě,0.0,0.0,0.0,4,G,1.0,Suchdol,Stehlíkova,Praha 6,4.0,0.0
https://www.prazskereality.cz/v-exkluzivnim-zastoupeni-nabizime-k-prodeji-tento-svetly-7300038.html,18390000.0,106.0,osobní,smíšená,velmi dobrý,0.0,1.0,1.0,3,E,0.0,Staré Město,Masná,Praha 1,3.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-10-kodanska/602cd540b4dc4b3a312f7e83/?s-et=flat&s-ot=sale&s-l=VUSC-19,3900000.0,44.0,osobní,cihlová,dobrý,0.0,0.0,1.0,-1,G,0.0,Vršovice,Kodaňská,Praha 10,2.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-1-spalena/5ffd9da1e89c690aaa59af93/?s-et=flat&s-ot=sale&s-l=VUSC-19,5390000.0,27.0,osobní,cihlová,novostavba,0.0,0.0,1.0,5,G,0.0,Nové Město,Spálená,Praha 1,1.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-9-nepomuckych/6077024f8520c350083cf943/?s-et=flat&s-ot=sale&s-l=VUSC-19,10490000.0,95.0,osobní,skeletová,novostavba,1.0,1.0,1.0,1,B,0.0,Letňany,Nepomuckých,Praha 9,4.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-9-herdovska/5f89c4a93b6d154dc641bb53/?s-et=flat&s-ot=sale&s-l=VUSC-19,10980200.0,101.0,osobní,cihlová,projekt,1.0,1.0,1.0,2,B,0.0,Kyje,Herdovská,Praha 9,3.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-4-zalesi/5fa3fe04b0330e1b6714c1c3/?s-et=flat&s-ot=sale&s-l=VUSC-19,4490000.0,55.0,družstevní,panelová,dobrý,0.0,1.0,0.0,1,G,0.0,Lhotka,Zálesí,Praha 4,3.0,0.0
https://sreality.cz/detail/prodej/byt/4+kk/praha-podoli-v-podhaji/3491577436,17090000.0,112.0,,skeletová,novostavba,0.0,1.0,1.0,2,B,0.0,Podolí,V podhájí,Praha 4,4.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-7-u-pergamenky/5f498bbf558f070855515b83/?s-et=flat&s-ot=sale&s-l=VUSC-19,9524409.0,85.0,osobní,cihlová,novostavba,0.0,0.0,1.0,3,B,0.0,Holešovice,U Pergamenky,Praha 7,3.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-2-polska/5fe988936774a0525b228273/?s-et=flat&s-ot=sale&s-l=VUSC-19,12000000.0,92.0,osobní,cihlová,po rekonstrukci,0.0,0.0,0.0,1,G,0.0,Vinohrady,Polská,Praha 2,4.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-2-na-folimance/605da7fd22750d77be2b2ec3/?s-et=flat&s-ot=sale&s-l=VUSC-19,6480000.0,51.0,osobní,cihlová,dobrý,0.0,0.0,0.0,1,G,0.0,Vinohrady,Na Folimance,Praha 2,2.0,1.0
https://reality.idnes.cz/detail/prodej/byt/praha-3-lucemburska/6045fe4be31f1b5a7f35f8f3/?s-et=flat&s-ot=sale&s-l=VUSC-19,5800000.0,57.0,družstevní,cihlová,po rekonstrukci,0.0,1.0,1.0,2,E,0.0,Vinohrady,Lucemburská,Praha 3,2.0,0.0
https://www.prazskereality.cz/prostorny-zrekonstruovany-byt-2-kk-o-celkove-obytne-plos-7376354.html,5371000.0,44.0,osobní,cihlová,po rekonstrukci,0.0,1.0,1.0,5,G,0.0,Libeň,náměstí Dr. Václava Holého,Praha 8,2.0,0.0
https://www.prazskereality.cz/v-exkluzivnim-zastoupeni-vlastnika-nabizime-k-prodeji-po-7372181.html,11500000.0,94.0,osobní,smíšená,velmi dobrý,0.0,1.0,0.0,4,G,1.0,Staré Město,Rybná 695/21,Praha 1,3.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-9-pod-harfou/60009ab0ebd4104e4c18cc93/?s-et=flat&s-ot=sale&s-l=VUSC-19,6590000.0,53.0,osobní,cihlová,novostavba,1.0,0.0,1.0,4,G,0.0,Vysočany,Pod Harfou,Praha 9,2.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-8-nad-rokoskou/60757198f8cd2b5cf84f3083/?s-et=flat&s-ot=sale&s-l=VUSC-19,4850000.0,39.0,osobní,cihlová,dobrý,0.0,0.0,0.0,1,D,0.0,Libeň,Nad Rokoskou,Praha 8,1.0,1.0
https://reality.idnes.cz/detail/prodej/byt/praha-2-tyrsova/602e40d2648a91586c591153/?s-et=flat&s-ot=sale&s-l=VUSC-19,4715100.0,30.0,osobní,cihlová,po rekonstrukci,0.0,0.0,1.0,5,G,0.0,Nové Město,Tyršova,Praha 2,2.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-8-rohanske-nabrezi/5f30e5dc558f07179e1a4bf3/?s-et=flat&s-ot=sale&s-l=VUSC-19,12068000.0,87.0,osobní,skeletová,ve výstavbě,0.0,1.0,0.0,3,B,1.0,Karlín,Rohanské nábřeží,Praha 8,3.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-10-k-botici/601281f40080e35fdf580546/?s-et=flat&s-ot=sale&s-l=VUSC-19,11890000.0,110.0,osobní,cihlová,dobrý,1.0,0.0,1.0,6,D,0.0,Vršovice,K Botiči,Praha 10,3.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-2-vinohradska/5f747b5ba9f5185e8e0b3483/?s-et=flat&s-ot=sale&s-l=VUSC-19,9790000.0,69.0,osobní,cihlová,dobrý,0.0,0.0,1.0,4,G,0.0,Vinohrady,Vinohradská,Praha 2,3.0,1.0
https://reality.idnes.cz/detail/prodej/byt/praha-3-jeseniova/607db5e83aba95753032cd63/?s-et=flat&s-ot=sale&s-l=VUSC-19,7200000.0,49.0,osobní,cihlová,novostavba,0.0,0.0,1.0,7,B,1.0,Žižkov,Jeseniova,Praha 3,2.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-1-senovazne-namesti/608152d5d2e350769330dd02/?s-et=flat&s-ot=sale&s-l=VUSC-19,7200000.0,43.0,osobní,cihlová,po rekonstrukci,0.0,0.0,1.0,6,G,0.0,Nové Město,Senovážné náměstí,Praha 1,1.0,1.0
https://reality.idnes.cz/detail/prodej/byt/praha-10-na-pliskave/6072bae99dc9874b53721f47/?s-et=flat&s-ot=sale&s-l=VUSC-19,8500000.0,102.0,osobní,cihlová,novostavba,0.0,1.0,1.0,1,B,1.0,Hostivař,Na Plískavě,Praha 10,3.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-7-u-pergamenky/5f4991d9558f07360b032b53/?s-et=flat&s-ot=sale&s-l=VUSC-19,6177708.0,56.0,osobní,cihlová,novostavba,0.0,0.0,1.0,4,B,0.0,Holešovice,U Pergamenky,Praha 7,2.0,0.0
https://www.remax-czech.cz/reality/detail/310214/prodej-bytu-3-kk-v-osobnim-vlastnictvi-104-m2-praha-6-liboc,10934000.0,104.0,,cihlová,velmi dobrý,0.0,0.0,0.0,4,G,0.0,Liboc,Za vokovickou vozovnou,Praha 6,3.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-9-dolezalova/607569db41118801a554401b/?s-et=flat&s-ot=sale&s-l=VUSC-19,4700000.0,50.0,osobní,panelová,dobrý,0.0,0.0,1.0,10,G,0.0,Černý Most,Doležalova,Praha 9,2.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/60619668e8cf2c73ca0714f3/?s-et=flat&s-ot=sale&s-l=VUSC-19,4093934.0,37.0,osobní,cihlová,ve výstavbě,0.0,1.0,1.0,7,B,0.0,Michle,U plynárny,Praha 4,1.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-6-pod-kastany/60612540bd84803f19586983/?s-et=flat&s-ot=sale&s-l=VUSC-19,19500000.0,155.0,osobní,cihlová,novostavba,0.0,0.0,0.0,1,G,0.0,Bubeneč,Pod kaštany,Praha 6,4.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-4-jurkovicova/5ffb413a9549686edb5fa637/?s-et=flat&s-ot=sale&s-l=VUSC-19,3950000.0,40.0,osobní,cihlová,novostavba,0.0,0.0,1.0,1,G,1.0,Háje,Jurkovičova,Praha 4,1.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-4-nuselska/603936d6534886327415ba43/?s-et=flat&s-ot=sale&s-l=VUSC-19,4999000.0,40.0,osobní,smíšená,po rekonstrukci,0.0,0.0,1.0,1,G,0.0,Michle,Nuselská,Praha 4,1.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-1-benediktska/5f06f36a37ba4d122c4606b3/?s-et=flat&s-ot=sale&s-l=VUSC-19,16500000.0,99.0,osobní,cihlová,dobrý,0.0,0.0,0.0,3,G,0.0,Staré Město,Benediktská,Praha 1,3.0,0.0
