locations/id,locations/response/destination_addresses/0,locations/response/origin_addresses/0,locations/response/rows/0/elements/0/status,locations/response/status,locations/response/rows/0/elements/0/distance/text,locations/response/rows/0/elements/0/distance/value,locations/response/rows/0/elements/0/duration/text,locations/response/rows/0/elements/0/duration/value
https://reality.idnes.cz/detail/prodej/byt/praha-5/5e83b076558f077e6f111d63/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Jinonice, 158 00 Praha-Praha 5, Czechia","Souběžná I 462, 158 00 Praha 5-Jinonice, Czechia",OK,OK,0.7 km,669,9 mins,519
https://reality.idnes.cz/detail/prodej/byt/praha-10-pocernicka/60487e989206c928db7f7003/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Strašnická, 100 00 Praha-Praha 10, Czechia","Počernická 797/10, 100 00 Praha-Strašnice, Czechia",OK,OK,1.0 km,991,12 mins,705
https://reality.idnes.cz/detail/prodej/byt/praha-10-pocernicka/60488350a619b1059b19ee43/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Strašnická, 100 00 Praha-Praha 10, Czechia","Počernická 797/10, 100 00 Praha-Strašnice, Czechia",OK,OK,1.0 km,991,12 mins,705
https://reality.idnes.cz/detail/prodej/byt/praha-5-peroutkova/5d243fa737ba4d11e10f2d03/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Radlická 158 00, 150 00 Praha 5, Czechia","Na Farkáně III 46, 150 00 Praha 5, Czechia",OK,OK,0.7 km,735,10 mins,578
https://reality.idnes.cz/detail/prodej/byt/praha-10-pocernicka/60487f67ca1b3446207a42f3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Strašnická, 100 00 Praha-Praha 10, Czechia","Počernická 797/10, 100 00 Praha-Strašnice, Czechia",OK,OK,1.0 km,991,12 mins,705
https://reality.idnes.cz/detail/prodej/byt/praha-6-stehlikova/602a72480d91470d4a77d933/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Šolínova 1, 160 00 Praha 6-Dejvice, Czechia","Osvobození 1074, 165 00 Praha-Suchdol, Czechia",OK,OK,5.5 km,5545,1 hour 9 mins,4129
https://reality.idnes.cz/detail/prodej/byt/praha-10-nad-vodovodem/5e3032e5558f074fe80ead73/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Strašnická, 100 00 Praha-Praha 10, Czechia","Nad Vodovodem 10, 100 00 Strašnice, Czechia",OK,OK,1.1 km,1061,13 mins,770
https://reality.idnes.cz/detail/prodej/byt/praha-9-podebradska/606dac6059c3be2ca25e5c63/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Kolbenova 9a, 190 00 Praha 9, Czechia","Poděbradská 174, 190 00 Praha 9, Czechia",OK,OK,1.5 km,1505,19 mins,1125
https://reality.idnes.cz/detail/prodej/byt/praha-3-jeseniova/6081af39227dc13f7a5aad63/?s-et=flat&s-ot=sale&s-l=VUSC-19,"663, Sokolovská, 186 00 Praha 8-Invalidovna, Czechia","Jeseniova 582, 130 00 Praha 3-Žižkov, Czechia",OK,OK,1.4 km,1359,18 mins,1078
https://reality.idnes.cz/detail/prodej/byt/praha-6-pod-kastany/60612540bd84803f19586983/?s-et=flat&s-ot=sale&s-l=VUSC-19,"M. Horákové 75/105, 160 00 Praha 6-Hradčany, Czechia","Pod kaštany 279/16, 160 00 Praha 6-Bubeneč, Czechia",OK,OK,0.5 km,547,8 mins,474
https://reality.idnes.cz/detail/prodej/byt/praha-5-voskovcova/6064fdc7dff8891ec65b3563/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Jinonice, 158 00 Praha-Praha 5, Czechia","Voskovcova 934/31, 152 00 Praha 5-Hlubočepy, Czechia",OK,OK,3.7 km,3719,51 mins,3034
https://reality.idnes.cz/detail/prodej/byt/praha-5-travnickova/608dac81ef84cf135f1f50f3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Luka, 155 00 Praha-Praha 13, Czechia","Trávníčkova 5, 155 00 Praha 13, Czechia",OK,OK,0.2 km,189,2 mins,142
https://reality.idnes.cz/detail/prodej/byt/praha-10-pocernicka/60487e25bde4d606722414e3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Strašnická, 100 00 Praha-Praha 10, Czechia","Počernická 797/10, 100 00 Praha-Strašnice, Czechia",OK,OK,1.0 km,991,12 mins,705
https://reality.idnes.cz/detail/prodej/byt/praha-7-u-pergamenky/5f4991d9558f07360b032b53/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Plynární 170 00, 170 00 Praha 7-Holešovice, Czechia","Ortenovo nám. 1311, 170 00 Praha 7-Holešovice, Czechia",OK,OK,0.8 km,801,11 mins,638
https://reality.idnes.cz/detail/prodej/byt/praha-8-u-sluncove/5ff3a7a19759184f1a626513/?s-et=flat&s-ot=sale&s-l=VUSC-19,"663, Sokolovská, 186 00 Praha 8-Invalidovna, Czechia","U Sluncové 186 00, 186 00 Praha 8-Invalidovna, Czechia",OK,OK,0.5 km,513,6 mins,368
https://reality.idnes.cz/detail/prodej/byt/praha-2-polska/5fe988936774a0525b228273/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Náměstí Míru Praha, 120 00 Praha-Praha 2, Czechia","Polská 936, 120 00 Praha 2-Vinohrady, Czechia",OK,OK,0.5 km,459,6 mins,367
https://www.prazskereality.cz/dovolujeme-si-nabidnout-k-prodeji-tento-plny-denniho-sve-7301478.html,"Náměstí Míru 585/11, 120 00 Praha 2-Vinohrady, Czechia","Varšavská 1077, 120 00 Praha 2-Vinohrady, Czechia",OK,OK,0.6 km,628,8 mins,483
https://reality.idnes.cz/detail/prodej/byt/praha-4-jurkovicova/5ffb413a9549686edb5fa637/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Háje, 149 00 Praha-Praha 11, Czechia","Jurkovičova 969/6, 149 00 Praha 11, Czechia",OK,OK,1.1 km,1066,14 mins,825
https://reality.idnes.cz/detail/prodej/byt/praha-7-u-pergamenky/5f498bbf558f070855515b83/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Plynární 170 00, 170 00 Praha 7-Holešovice, Czechia","Ortenovo nám. 1311, 170 00 Praha 7-Holešovice, Czechia",OK,OK,0.8 km,801,11 mins,638
